"","TCGA.CH.5761.11A.01R.1580.07","TCGA.CH.5761.11A.01R.1580.08","TCGA.CH.5761.11A.01R.1580.09","TCGA.CH.5761.11A.01R.1580.10","TCGA.CH.5761.11A.01R.1580.11","TCGA.CH.5761.11A.01R.1580.12","TCGA.CH.5761.11A.01R.1580.13","TCGA.CH.5761.11A.01R.1580.14","TCGA.CH.5761.11A.01R.1580.15"
"A1BG","47.4871","36.3934","74.1938","17.9526","55.1274","36.5281","165.9088","73.8985","83.3293"
"A1CF","0","0","1.4144","0","0","0","0","0","0"
"A2BP1","11.9061","37.0455","36.7751","2.2918","19.6732","158.4928","11.7734","52.5386","41.1919"
"A2LD1","113.0807","102.9231","87.9986","111.3827","145.439","67.7572","146.6851","103.7792","81.8403"
"A2M","5594.0057","9124.2072","3122.1924","11170.3514","8499.4952","30759.0999","10025.8057","29082.9007","91564.8883"
"A2ML1","160.2748","159.6002","36.0679","27.8839","21.2162","11.6627","34.5843","65.3422","64.489"
"A4GALT","922.7247","586.1311","360.6789","462.9488","541.592","837.6196","346.5784","530.6843","649.2794"
"A4GNT","0","0.2537","0","0","0","0.299","0.3679","0","0.3376"
"AAA1","0","0","0","0","0.3857","0","0","0","0"
"AAAS","836.6342","709.1933","628.7129","903.3613","720.5796","412.0813","589.7719","529.3598","487.5504"
"AACS","1191.5283","771.6125","727.7228","1595.8747","958.2012","659.988","1033.4805","1022.5166","561.8309"
"AACSL","0","1.0149","0","0","0","0.299","0","0","0.6753"
"AADAC","0","0.7612","0","0.7639","0.3857","0.299","0.3679","0.883","0"
"AADACL2","0","0","0","0","0","0","0","0","0"
"AADACL3","0","0","0","0","0","0.299","0","0","0"
"AADACL4","0","0.2537","0","1.5279","0","1.4952","0.3679","0.4415","0.6753"
"AADAT","256.8975","246.6318","248.232","259.3583","334.0589","240.1316","463.2082","270.6402","236.0095"
"AAGAB","952.49","979.4226","939.1796","1077.5401","1060.4247","742.823","1604.8565","882.5607","824.1763"
"AAK1","1298.2255","1298.1156","1858.5573","1287.2422","1188.8792","1328.9474","461.3687","1735.0993","1253.9905"
"AAMP","3293.4173","2508.6921","3022.6308","3606.5699","3140.3848","2017.9426","3323.7675","2596.468","2048.4545"
"AANAT","0.9159","0.2537","0","0","0","0","0.3679","0","0.3376"
"AARS","3592.9021","2607.903","3096.8883","4037.4332","3193.2324","3763.1579","3008.4621","3665.7837","3052.9299"
"AARS2","646.5896","618.3278","579.9151","574.851","442.8363","373.4809","263.429","498.4547","429.4765"
"AARSD1","581.1105","557.7127","478.7836","692.8953","612.5698","652.512","664.4592","519.2053","397.4009"
"AASDH","312.3068","383.9032","408.7694","245.6073","396.5502","272.7273","446.284","360.7064","413.2699"
"AASDHPPT","735.8901","768.0602","849.3635","444.6142","813.1595","826.555","1112.9507","822.5166","868.407"
"AASS","397.4814","835.3003","538.8967","226.8908","381.1203","389.3541","278.1457","492.2737","572.973"
"AATF","868.6892","809.1655","934.9364","1100.4584","771.8843","941.6866","587.1965","777.9249","781.6338"
"AATK","102.5758","78.6659","154.8798","98.1665","60.1769","103.4689","41.5747","111.6998","76.9816"
"ABAT","1953.9782","1559.4641","1567.8925","1488.1589","2309.4808","1420.1555","2068.8006","1903.7528","1470.4169"
"ABCA1","320.5495","608.4447","402.4045","307.4866","478.6685","474.8804","207.1376","505.064","717.4655"
"ABCA10","11.9199","38.0605","7.0721","5.3476","4.2432","42.1651","1.4717","4.415","5.7399"
"ABCA11P","91.6176","158.8974","139.1018","135.3132","118.5832","85.6728","179.1096","97.7483","105.6168"
"ABCA12","11.4482","19.7914","7.0721","4.2017","5.0147","2.0933","0.3679","12.362","7.4281"
"ABCA13","4.5793","4.3135","2.1216","0","0.7715","1.4952","0","1.3245","2.7011"
"ABCA17P","2.2896","3.806","7.0721","2.6738","3.8575","3.8876","3.3113","3.0905","2.3635"
"ABCA2","1927.4184","1552.8669","1898.8685","1591.673","1663.7366","1419.2584","367.1818","1555.4084","1492.3635"
"ABCA3","1196.1076","925.3768","1297.0297","552.712","1251.3706","1088.5167","370.1251","987.1965","684.0562"
"ABCA4","7.3268","4.821","2.1216","6.1115","1.1572","6.2799","4.415","3.532","9.7915"
"ABCA5","586.1339","851.032","424.3281","273.4912","490.2873","492.2249","447.3878","492.7152","435.554"
"ABCA6","15.1116","42.374","4.9505","7.2574","37.4177","78.0502","32.3767","26.0486","76.9816"
"ABCA7","569.2044","290.5282","200.8487","129.1062","190.5601","127.6914","104.4886","241.0596","259.9819"
"ABCA8","182.2553","695.4915","195.1909","125.2865","486.4298","1795.7536","131.3466","342.1634","485.8622"
"ABCA9","14.6537","41.8665","9.901","7.2574","18.516","120.2153","3.6792","7.5055","15.869"
"ABCB1","134.6308","334.4246","106.7893","246.7532","254.5945","482.3565","52.2443","311.2583","821.1375"
"ABCB10","469.3761","500.1145","519.802","661.1917","475.6288","535.8852","654.8933","528.4768","550.3512"
"ABCB11","0.4579","1.2687","0.7072","0","0.3857","0.299","0","0","0.6753"
"ABCB4","5.0372","27.4035","9.901","25.974","11.5725","26.0167","3.6792","10.1545","39.8414"
"ABCB5","1.3738","2.7911","33.9463","5.7296","5.0147","0","1.4717","5.298","1.6882"
"ABCB6","1066.6377","838.2614","641.2306","1136.2643","1029.2138","537.9037","789.1869","811.457","489.1373"
"ABCB7","312.7647","442.7701","416.5488","467.5325","476.4003","445.8732","608.1678","335.5408","406.1795"
"ABCB8","736.806","527.518","559.4059","556.9137","815.0882","517.3445","792.4945","661.3687","507.8087"
"ABCB9","168.664","131.7095","87.8218","61.7571","93.7564","76.9199","63.2929","109.479","113.45"
"ABCC1","2304.2931","1856.3357","2758.133","2085.5615","2355.385","2316.0885","771.8911","3014.128","1804.6793"
"ABCC10","701.0876","676.4613","507.0721","538.961","587.1104","340.012","220.3826","448.1236","497.3419"
